%26/03/2021 10:48:01
%Laser Wavelength:697[nm]
%Laser Power:5[mW]
%Amplifier Gain:40[dB]
%2-2
%0.0	0.0
%12.0	12.0
%0.2	0.2
%1
%Swipe sulla tensione con onda sinusoidale su un canale, canali rimanenti a 0 V.Chip Q2-2+8%PD at channel 3: Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]	Channel 0 : Voltage [V]	Current [mA]
+2243.855000	-00.000000	+04.199900	+02.888900	+04.199900	+02.888900
+2197.992000	-00.000000	+04.399900	+03.051700	+04.399900	+03.051700
+2152.763000	-00.000000	+04.599800	+03.173800	+04.599800	+03.214500
+2103.775000	-00.000000	+04.799900	+03.336500	+04.799900	+03.295800
+2045.912000	-00.000000	+04.999900	+03.458600	+04.999900	+03.458600
+1994.958000	-00.000000	+05.199900	+03.580700	+05.199900	+03.580700
+1948.778000	-00.000000	+05.399800	+03.743400	+05.399800	+03.743400
+1900.217000	-00.000000	+05.599900	+03.824800	+05.599900	+03.865500
+1845.515000	-00.000000	+05.799900	+03.987600	+05.799900	+03.987600
+1796.161000	-00.000000	+05.999900	+04.109700	+05.999900	+04.109700
+1741.557000	-00.000000	+06.199800	+04.231700	+06.199800	+04.272400
+1679.604000	-00.000000	+06.400000	+04.394500	+06.400000	+04.353800
+1614.319000	-00.000000	+06.599900	+04.516600	+06.599900	+04.516600
+1541.710000	-00.000000	+06.799900	+04.638600	+06.799900	+04.679300
+1476.339000	-00.000000	+06.999800	+04.801400	+06.999800	+04.760700
+1413.410000	-00.000000	+07.200000	+04.882800	+07.200000	+04.882800
+1349.858000	-00.000000	+07.399900	+05.045500	+07.399900	+05.045500
+1281.338000	-00.000000	+07.599900	+05.167600	+07.599900	+05.167600
+1211.597000	-00.000000	+07.799800	+05.249000	+07.799800	+05.249000
+1143.236000	-00.000000	+08.000000	+05.371000	+08.000000	+05.371000
+1074.068000	-00.000000	+08.199900	+05.493100	+08.199900	+05.493100
+1009.674000	-00.000000	+08.399900	+05.615200	+08.399900	+05.615200
+937.370000	-00.000000	+08.599800	+05.737300	+08.599800	+05.737300
+867.446000	-00.000000	+08.800000	+05.859300	+08.800000	+05.859300
+801.160000	-00.000000	+08.999900	+05.981400	+08.999900	+06.022100
+737.193000	-00.000000	+09.199900	+06.144200	+09.199900	+06.103500
+677.950000	-00.000000	+09.399800	+06.225500	+09.399800	+06.225500
+615.387000	-00.000000	+09.600000	+06.347600	+09.600000	+06.347600
+555.290000	-00.000000	+09.799900	+06.469700	+09.799900	+06.469700
+498.184000	-00.000000	+09.999900	+06.591700	+09.999900	+06.591700
+442.128000	-00.000000	+10.199800	+06.713800	+10.199800	+06.713800
+391.772000	-00.000000	+10.399900	+06.835900	+10.399900	+06.795200
+342.906000	-00.000000	+10.599900	+06.917300	+10.599900	+06.917300
+297.995000	-00.000000	+10.799900	+07.039300	+10.799900	+06.998600
+255.440000	-00.000000	+10.999800	+07.120700	+10.999800	+07.120700
+221.320000	-00.000000	+11.199900	+07.242800	+11.199900	+07.242800
+191.498000	-00.000000	+11.399900	+07.324200	+11.399900	+07.364900
+168.096000	-00.000000	+11.599900	+07.446200	+11.599900	+07.446200
+152.898000	-00.000000	+11.799800	+07.568300	+11.799800	+07.568300
+142.766000	-00.000000	+12.000000	+07.649700	+12.000000	+07.690400
+153.227000	-00.000000	+11.799800	+07.527600	+11.799800	+07.568300
+168.535000	-00.000000	+11.599900	+07.446200	+11.599900	+07.446200
+188.653000	-00.000000	+11.399900	+07.364900	+11.399900	+07.324200
+215.949000	-00.000000	+11.199900	+07.202100	+11.199900	+07.202100
+247.578000	-00.000000	+10.999800	+07.120700	+10.999800	+07.120700
+283.981000	-00.000000	+10.799900	+06.998600	+10.799900	+07.039300
+327.097000	-00.000000	+10.599900	+06.917300	+10.599900	+06.917300
+374.145000	-00.000000	+10.399900	+06.795200	+10.399900	+06.835900
+425.001000	-00.000000	+10.199800	+06.673100	+10.199800	+06.713800
+477.590000	-00.000000	+09.999900	+06.551100	+09.999900	+06.591700
+531.950000	-00.000000	+09.799900	+06.469700	+09.799900	+06.469700
+590.374000	-00.000000	+09.600000	+06.347600	+09.600000	+06.347600
+654.805000	-00.000000	+09.399800	+06.184800	+09.399800	+06.225500
+716.196000	-00.000000	+09.199900	+06.103500	+09.199900	+06.062800
+781.127000	-00.000000	+08.999900	+05.981400	+08.999900	+05.981400
+849.403000	-00.000000	+08.800000	+05.818600	+08.800000	+05.859300
+917.728000	-00.000000	+08.599800	+05.777900	+08.599800	+05.737300
+982.598000	-00.000000	+08.399900	+05.615200	+08.399900	+05.615200
+1052.754000	-00.000000	+08.199900	+05.493100	+08.199900	+05.452400
+1121.543000	-00.000000	+08.000000	+05.330400	+08.000000	+05.371000
+1189.990000	-00.000000	+07.799800	+05.208300	+07.799800	+05.208300
+1258.827000	-00.000000	+07.599900	+05.126900	+07.599900	+05.167600
+1324.284000	-00.000000	+07.399900	+05.004800	+07.399900	+05.045500
+1389.056000	-00.000000	+07.200000	+04.882800	+07.200000	+04.923500
+1453.169000	-00.000000	+06.999800	+04.760700	+06.999800	+04.801400
+1517.917000	-00.000000	+06.799900	+04.638600	+06.799900	+04.638600
+1587.280000	-00.000000	+06.599900	+04.516600	+06.599900	+04.516600
+1648.647000	-00.000000	+06.400000	+04.394500	+06.400000	+04.394500
+1706.131000	-00.000000	+06.199800	+04.231700	+06.199800	+04.272400
+1656.484000	-00.000000	+05.999900	+04.109700	+05.999900	+04.109700
+1817.341000	-00.000000	+05.799900	+03.946900	+05.799900	+03.946900
+1868.331000	-00.000000	+05.599900	+03.865500	+05.599900	+03.865500
+1926.658000	-00.000000	+05.399800	+03.743400	+05.399800	+03.702700
+1981.188000	-00.000000	+05.199900	+03.580700	+05.199900	+03.540000
+2039.467000	-00.000000	+04.999900	+03.458600	+04.999900	+03.458600
+2083.206000	-00.000000	+04.799900	+03.295800	+04.799900	+03.295800
+2128.288000	-00.000000	+04.599800	+03.173800	+04.599800	+03.173800
+2172.088000	-00.000000	+04.399900	+03.051700	+04.399900	+03.051700
+2210.688000	-00.000000	+04.199900	+02.929600	+04.199900	+02.888900
+2111.234000	-00.000000	+03.999900	+02.766900	+03.999900	+02.766900
+2274.081000	-00.000000	+03.799800	+02.644800	+03.799800	+02.604100
+2307.285000	-00.000000	+03.599900	+02.482000	+03.599900	+02.482000
+2345.396000	-00.000000	+03.399900	+02.319300	+03.399900	+02.360000
+2374.780000	-00.000000	+03.199900	+02.197200	+03.199900	+02.237900
+2392.261000	-00.000000	+02.999800	+02.075100	+02.999800	+02.075100
+2412.989000	-00.000000	+02.799900	+01.912400	+02.799900	+01.912400
+2440.382000	-00.000000	+02.599900	+01.749600	+02.599900	+01.790300
+2466.909000	-00.000000	+02.399900	+01.668200	+02.399900	+01.708900
+2486.868000	-00.000000	+02.199800	+01.505500	+02.199800	+01.546200
+2499.918000	-00.000000	+01.999900	+01.383400	+01.999900	+01.383400
+2507.352000	-00.000000	+01.799900	+01.220700	+01.799900	+01.261300
+2516.202000	-00.000000	+01.599900	+01.098600	+01.599900	+01.098600
+2527.238000	-00.000000	+01.399800	+00.976500	+01.399800	+00.976500
+2537.101000	-00.000000	+01.199900	+00.813800	+01.199900	+00.813800
+2539.665000	-00.000000	+00.999900	+00.691700	+00.999900	+00.691700
+2545.451000	-00.000000	+00.799900	+00.528900	+00.799900	+00.528900
+2546.782000	-00.000000	+00.599800	+00.366200	+00.599800	+00.406900
+2551.543000	-00.000000	+00.399900	+00.203400	+00.399900	+00.244100
+2553.887000	-00.000000	+00.199900	+00.081300	+00.199900	+00.081300
